4,Day,Schedule,Type,Through,Day of Week,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,Hours Per Day,Hours Per Week,Hours Per Year
SchEquip,WD,APT_EQP_SCH,Fraction,Through 12/31,All,0.225,0.205,0.195,0.19,0.19,0.215,0.27,0.325,0.33,0.335,0.345,0.35,0.345,0.33,0.325,0.34,0.4,0.5,0.5,0.465,0.445,0.425,0.355,0.29,7.895,55.265,2881.675
,Sat,,,,,0.225,0.205,0.195,0.19,0.19,0.215,0.27,0.325,0.33,0.335,0.345,0.35,0.345,0.33,0.325,0.34,0.4,0.5,0.5,0.465,0.445,0.425,0.355,0.29,,,
,Sun,,,,,0.225,0.205,0.195,0.19,0.19,0.215,0.27,0.325,0.33,0.335,0.345,0.35,0.345,0.33,0.325,0.34,0.4,0.5,0.5,0.465,0.445,0.425,0.355,0.29,,,
SchLight,WD,APT_LIGHT_SCH,Fraction,Through 12/31,All,0.0335,0.0335,0.0335,0.0335,0.0935,0.197,0.22,0.1965,0.086,0.0595,0.0595,0.0595,0.0595,0.0595,0.0595,0.103,0.2195,0.308,0.4145,0.493,0.5,0.346,0.192,0.08,3.94,27.58,1438.1
,Sat,,,,,0.0335,0.0335,0.0335,0.0335,0.0935,0.197,0.22,0.1965,0.086,0.0595,0.0595,0.0595,0.0595,0.0595,0.0595,0.103,0.2195,0.308,0.4145,0.493,0.5,0.346,0.192,0.08,,,
,Sun,,,,,0.0335,0.0335,0.0335,0.0335,0.0935,0.197,0.22,0.1965,0.086,0.0595,0.0595,0.0595,0.0595,0.0595,0.0595,0.103,0.2195,0.308,0.4145,0.493,0.5,0.346,0.192,0.08,,,
SchOcc,WD,APT_OCC_SCH,Fraction,Through 12/31,All,1,1,1,1,1,1,1,0.85,0.39,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.3,0.52,0.87,0.87,0.87,1,1,1,16.42,114.94,5993.3
,Sat,,,,,1,1,1,1,1,1,1,0.85,0.39,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.3,0.52,0.87,0.87,0.87,1,1,1,,,
,Sun,,,,,1,1,1,1,1,1,1,0.85,0.39,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.3,0.52,0.87,0.87,0.87,1,1,1,,,
SetCool,WD,APT_CLGSETP_SCH,Temperature,Through 12/31,All,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,672,4704,245280
,Sat,,,,,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,,,
,Sun,,,,,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,,,
SetHeat,WD,APT_HTGSETP_SCH,Temperature,Through 12/31,All,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,432,3024,157680
,Sat,,,,,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,,,
,Sun,,,,,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,,,
SchGas,WD,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
,Sat,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
,Sun,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
SchSWH,WD,APT_DHW_SCH,Fraction,Through 12/31,All,0.08,0.04,0.01,0.01,0.04,0.27,0.94,1,0.96,0.84,0.76,0.61,0.53,0.47,0.41,0.47,0.55,0.73,0.86,0.82,0.75,0.61,0.53,0.29,,,
,Sat,,,,,0.08,0.04,0.01,0.01,0.04,0.27,0.94,1,0.96,0.84,0.76,0.61,0.53,0.47,0.41,0.47,0.55,0.73,0.86,0.82,0.75,0.61,0.53,0.29,,,
,Sun,,,,,0.08,0.04,0.01,0.01,0.04,0.27,0.94,1,0.96,0.84,0.76,0.61,0.53,0.47,0.41,0.47,0.55,0.73,0.86,0.82,0.75,0.61,0.53,0.29,,,
RHSetCool,WD,APT_CLGRHSETP_SCH,RelativeHumidity,Through 12/31,All,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,573.6,4015.2,209364
,Sat,,,,,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,,,
,Sun,,,,,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,,,
RHSetHeat,WD,APT_HTGRHSETP_SCH,RelativeHumidity,Through 12/31,All,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,506.4,3544.8,184836
,Sat,,,,,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,,,
,Sun,,,,,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,,,
