# 0:Year, 1:SCC/SC-CO2 [$ tonne-1], 2:SCM/SC-CH4[$ tonne-1], 3:SCN/SC-N2O[$ tonne-1] #https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
2020,247,2107,69230
2021,252,2203,70797
2022,256,2300,72364
2023,261,2396,73932
2024,266,2494,75499
2025,271,2589,77066
2026,275,2687,78633
2027,280,2783,80201
2028,285,2880,81768
2029,289,2976,83335
2030,294,3073,84903
2031,299,3184,86501
2032,303,3297,88099
2033,308,3409,89698
2034,313,3522,91295
2035,317,3634,92894
2036,322,3745,94492
2037,327,3858,96090
2038,331,3971,97689
2039,336,4083,99287
2040,341,4194,100886
2041,347,4316,102689
2042,352,4439,104492
2043,357,4560,106295
2044,362,4682,108099
2045,367,4803,109902
2046,372,4924,111705
2047,379,5046,113508
2048,384,5167,115313
2049,389,5289,117116
2050,394,5410,118919
2051,399,5524,120610
2052,403,5638,122302
2053,408,5751,123994
2054,413,5864,125686
2055,417,5978,127379
2056,422,6091,129071
2057,427,6204,130762
2058,432,6318,132454
2059,436,6431,134146
2060,441,6545,135838
2061,445,6648,137319
2062,449,6752,138798
2063,453,6855,140279
2064,457,6959,141758
2065,460,7063,143239
2066,464,7166,144719
2067,468,7270,146199
2068,472,7372,147679
2069,476,7476,149160
2070,480,7579,150639
2071,483,7689,152206
2072,488,7799,153772
2073,492,7908,155339
2074,496,8018,156905
2075,500,8126,158470
2076,504,8236,160037
2077,509,8346,161603
2078,513,8455,163170
2079,517,8565,164736
2080,520,8674,166301
